claim,classification,evidence_quality,notes
"Option A0 (TM key fix) is implemented and correct",ACCEPTED_VERIFIED,STRONG,"7 unit tests + real production LMDB proof"
"Option A (router wiring) is implemented and correct",ACCEPTED_VERIFIED,STRONG,"3 integration tests via real function return value, not mocked reconstruction"
"Zero regressions introduced by this session's source changes",ACCEPTED_VERIFIED,STRONG,"file-provenance + isolation + neighborhood re-run, 3 independent methods"
"775 full-suite test failures are pre-existing, not introduced by this change",ACCEPTED_VERIFIED,ADEQUATE_WITH_LIMITATIONS,"sampled not exhaustive; root cause of the pre-existing debt itself unconfirmed (see L1-003)"
"The specific DiffUtils/PsStack collision is fixed at the mechanism level",ACCEPTED_VERIFIED,STRONG,"real hash functions against real poisoned production LMDB entry"
"All previously-corrupted files are now correctly translated on disk",UNVERIFIED,INSUFFICIENT,"fix prevents new corruption and orphans old bad cache entries; does not retroactively repair already-written files without re-translation (deferred, L1-004)"
"Scheduler outage is fully resolved",ACCEPTED_VERIFIED,STRONG,"live monitoring across 5+ dispatch cycles post both fixes"
"Stall-detector bug is fully resolved",ACCEPTED_VERIFIED,STRONG,"before/after comparison, 5+ cycles, zero new occurrences"
"Campaign is healthy and making real progress",ACCEPTED_VERIFIED,STRONG,"live log-freshness checks on previously-stuck jobs, GPU telemetry"
"docs.aspose.org / kb.aspose.org code-fence claim from the user's original report is resolved",UNVERIFIED,INSUFFICIENT,"never checked this session; explicitly flagged as outstanding in the plan"
"BoxShape [Condition]-style placeholder bug is understood",UNVERIFIED,INSUFFICIENT,"found during file-level validation, not root-caused"
"Form.md staleness-after-EN-regeneration gap is understood",PARTIAL,ADEQUATE_WITH_LIMITATIONS,"mechanism identified (no cache-invalidation-on-source-change check); no fix designed or implemented"
"Full-suite test-isolation debt is understood",PARTIAL,ADEQUATE_WITH_LIMITATIONS,"characterized as pre-existing and non-attributable to this change; underlying cause of the leakage itself not found"
"TC-HDN-003 (field-scoped TM keys) is no longer needed",FAILED,STRONG,"false as stated -- remains needed for the cross-field-type case; correctly reclassified as OPEN_SUPERSEDED_IN_SCOPE, not closed"
